TITLE,URL,SOLUTION SET,AUDIENCE,DESCRIPTION,TOOL TYPE,FORMAT,FREE,SCREENSHOTS,WHO1,RATING1,REASONS1,WHO2,RATING2,REASONS2,WHO3,RATING3,REASONS3
Bowel Management Following Spinal Cord Injury,http://www.buckshealthcare.nhs.uk/Downloads/Patient-leaflets-NSIC/Bowel%20management%20following%20spinal%20cord%20injury.pdf,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,Published resource from the NHS the UK that lists factors that affect bowel care and how to treat bowel problems after SCI.,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/BowelManagement2.png,Jenny,3,A wealth of information in a concise manner. ,John Shepherd,5,"Excellent, detailed information",,,
Canadian Society of Colon and Rectal Surgeons,http://cscrs.ca/colon-and-rectal-surgeons-directory/,Medical Interventions,General Audiences,Allows you to search for colon and rectal surgeons that work in Canada.,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/45.png,Virgil,4,"• Usefull information.
• Search by postal code should use a radius (it doesn't give a result unless you hit the doctor's postal code).",John Shepherd,2,Postal code search is not very helpful,Jenny,3.75,Website is comprehensive with several lectures on various topics and has a section where people can share with each other. 
Caring for Persons with Spinal Cord Injury,http://eprimarycare.onf.org/NeurogenicBowel.html,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,"Desktop tool which provides management and recommendations, resources, tips to follow up",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/70.png,Jenny,3,Extremely helpful resource with appropriate headings and easy to navigate. ,John Shepherd,3,"Excellent information, designed for HCPs",,,
Christopher and Dana Reeve Foundation Bowel Management Information,http://www.christopherreeve.org/site/c.mtKZKgMWKwG/b.4453409/k.93E4/Bowel_Management.htm,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,"The Reeve Foundation is foundation for research and support regarding spinal cord injuries. The bowel management section contains basic information as well as links to several resources, like guidelines for bowel management.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/19.png,Jenny,3.25,Very concise and easy to access information. ,John Shepherd,4,Good information,,,
Coloplast Bladder and Bowel Products,http://www.coloplast.ca/Products/Bladder--Bowel-products/,Positioning and Assistive Devices,Persons with SCI,"Information on the bladder and bowel products that are offered by Coloplast.  These include SpeediCath, a catheter and bag solution; Conveen, a male external catheter; and Peristeen, an anal plug and anal irrigation system. The company also provides information about Sproam, a product to help facilitate clean up after incontinence.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/coleplast.png,Jenny,4, Very interactive website with a lot of options to choose from. ,John Shepherd,3,These products will be more relevant to bladder care for most people with SCI,,,
Colostomies: A Radical Approach,https://craighospital.org/resources/colostomies-a-radical-approach-to-bowel-management,Medical Interventions,Persons with SCI,"An article by Craig Hospital Research Department from their SCI Health and Wellness series that discusses how a colostomy is a perfectly reasonable way to manage those cranky bowels, reviewing the pros and cons as well as the costs",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/Screen%20Shot%202015-10-17%20at%201.00.37%20PM.png,Virgil,5,• Usefull information.,John Shepherd,4,Very good discussion of a difficult topic,Jenny,2.5,"Very basic information provided, but a good way to start researching about colostomies. "
Consensus review of best practice of transanal irrigation in adults,http://www.nature.com/sc/journal/v51/n10/full/sc201386a.html,Medical Interventions,Persons with SCI,Research article (funded by Coloplast) that provides a consensus expert review of the treatment modality for transanal irrigation.,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/spinalcord.png,Virgil,5,• Usefull information.,John Shepherd,3,Professional journal article,Jenny,2.75,Very complex article and not easy to comprehend. 
Craig Hospital Information about Bowel Problems,https://craighospital.org/resources/bowel-problems,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,An article by Craig Hospital Research Department from their SCI Health and Wellness series that discusses complications and problems individuals often have with their bowel program and solutions to them.,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/Screen%20Shot%202015-10-17%20at%2012.46.18%20PM.png,Don,2,"As the title suggests this link deals specifically with bowel problems of all sorts, not specifically neurogenic and it is not specific to SCI.  Given the volume of resources on neurogenic bowel that are specific to SCI, it might not be necessary to include this link/website on the proposed website.",John Shepherd,4,"Good information, helpful for problem-solving",Jenny,3.25,Covers a variety of topics in a general context. 
Cure Zone Enema and Colonic Forum,http://www.curezone.org/forums/f.asp?f=128&c=0&p=1,"General Bowel Health Management (Defining a Routine, Defining Success)",General Audiences,"Contains forums on many different topics, including the use of enemas and colonics.","Tool for Peer or HCP Interaction: Chat Room, Forum or Social Network",,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/18.png,Jenny,4.5,Source supports networking and sharing of resources. ,John Shepherd,2,Lively discussion of a topic of limited interest,,,
Development and psychometric characteristics of the SCI-QOL Bladder Management Difficulties and Bowel Management Difficulties item banks and short forms and the SCI-QOL Bladder Complications scale.,http://www.ncbi.nlm.nih.gov/pubmed/26010964,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,Research article that describes how quality of life that is related to both bowel and bladder management can be measured.,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/DevelopmentandPsychometric.png,Jenny,1.75,Difficult to understand article content or subject matter. ,John Shepherd,2,"Professional journal article, not very relevant to bowel management",,,
Diet/Health Experts,http://www.prestoexperts.com/health-medicine/,Lifestyle Management: Diet,General Audiences,"This site you to interact with an HCPs that know something about diet or nutrition for a fee.  Other parts of the site let you interact with gastroenterologists, nurses and various other medical specialists with potential expertise in bowel management issues.",Tool for Peer or HCP Interaction: Messaging or Expert Advice,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/DietExperts.png,Jenny,2.25,Source is easy to navigate and gives access to qualified professionals.,John Shepherd,1,Not relevant or useful for bowel issues,,,
Dietary Guidelines after SCI,,Lifestyle Management: Diet,Persons with SCI,A fact sheet from the US National Institute on Disability and Rehabilitation Research with recommendations for diet after SCI.,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/dietaryguidelines.png,Jenny,3,Source has comprehensive information that it is easily understandable.,John Shepherd,4,Helpful recommendations,,,
Drugs.com,http://www.drugs.com/drug_information.html,Medication Management,General Audiences,"Contains user reviews and ratings on a wide variety of different drugs, including laxatives and suppositories.  The reviews are written by general audiences of users, not necessarily persons with SCI.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/20.png,Jenny,2.75,A lot of information with easy to follow headings.,John Shepherd,3,Searchable drug database,,,
Eating Well with Canada's Food Guide,http://sci-u.ca/bowel/data/downloads/foodguide.pdf,Lifestyle Management: Diet,General Audiences,This is a guide from Health Canada that includes dietary recommendations that promote good bowel functioning (and overall health).,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/CanadasFoodGuide.png,Jenny,2.5,Very comprehensive and easy to navigate source.,John Shepherd,4,Authoritative and helpful,,,
Elearning SCI Bowel Module for Nurses,http://www.elearnsci.org/module.aspx?id=144&category=Overview%20for%20the%20Whole%20Team&module=Bowel%20care%20and%20management&lesson=Overview,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,"Modules on how to treat bowel problems faced by SCI patients. This particular module is for nurses who manage patients with SCI.  The website requires registration, you will have to register for the site and log in before you are able to access the link.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/27%281%29.png,Don,0,"The website required signing up; therefore, did not bother.",John Shepherd,3,"Requires registration; excellent information, well-presented but exclusively focused on professionals",Jenny,4.5,Website is a wealth of information but caters to the Nursing profession. 
EZ Fiber Tracker,https://itunes.apple.com/ca/app/ez-fiber-tracker/id634973126?mt=8,Lifestyle Management: Diet,General Audiences,"This mobile phone application helps you to track your daily fiber intake. It allows you to look up how many fiber grams are in a food or drink, so you are better able to make decisions about what to eat.",Health Tracker/Monitoring Tool,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/13%281%29.png,Jenny,2.25,Very easy to use tool with the ability to ask questions and get feedback at a cost. ,John Shepherd,3,Requires payment; rudimentary design and functionality,,,
Fiber-o-Meter,http://www.webmd.com/diet/healthtool-fiber-meter,Lifestyle Management: Diet,General Audiences,This is a simpple online tool that allows you to find foods that are high in fiber or to calculate the fiber in your current food choices.,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/38.png,Jenny,3,Customized tool that can give great feedback.,John Shepherd,3,Difficult to use,,,
Food Allergy Journal,https://play.google.com/store/apps/details?id=com.ibkr.allergyjournalpaid&hl=en,Lifestyle Management: Diet,General Audiences,"This mobile phone app allows helps you explore food allergies. It lets you to record the food you ate, the symptoms you experienced (including constipation or incontinence), and it lets you rate your symptoms on a scale of mild/medium/severe. You can save and email reports to your doctor or anyone else.",Health Tracker/Monitoring Tool,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/Screen%20Shot%202015-10-17%20at%2012.51.37%20PM.png,Jenny,3.5,A varsity of topics and easy to navigate. ,John Shepherd, n/a,,,,
"Functional electrical stimulation after spinal cord injury: current use, therapeutic effects and future direction",http://www.fysiot.ee/wp-content/uploads/2015/05/Functional-electrical-stimulation-after-spinal-cord-injury-current-use-therapeutic-effects-and-future-directions.pdf,Medical Interventions,Persons with SCI,"Research article that describers the use of nerve stimulation to help persons with SCI gain functional control over baller and bowel function, among other things.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/funcelec.png,Virgil,5,"• Usefull information.
• Possibly a bit complicated for a layperson",John Shepherd,2,Professional journal article,Jenny,3.25,A great introduction to the topic and extremely well explained. 
Get constipation relief,http://www.getconstipationrelief.com/,"General Bowel Health Management (Defining a Routine, Defining Success)",General Audiences,"Basic information on constipation, for general audiences (i.e. how do you know if you are constipated, what is causing your constipation, combating constipation). Includes some potentially useful information on diets and medications to relieve constipation.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/37.png,Jenny,3.75,A great resource that is easy to navigate and can answer many questions.,John Shepherd,4,Good information and advice,,,
GF Strong Bowel Information Sheet,http://sci-bc-database.ca/wp-content/uploads/Bowel-Management-from-GF-Strong.pdf,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,"GF Strong is the main rehab facility for Spinal Cord Injuries in BC. They are the experts at understanding complications related to SCI and this document offers basic information on one of the most common issues affecting people after injury, i.e. bowel management.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/56.png,Jenny,3.25,Source is easy to read and gives a general overview of topic.,John Shepherd,5,Excellent tips,,,
GI Bodyguard,http://www.cdhf.ca/en/staying-healthy-/details/id/36,Lifestyle Management: Diet,General Audiences,"This app, created by the Canadian Digestive Helath Foundation, allows you to track stool frequency and consistency, presence (amount and type of blood in stool), symptoms including location and severity of pain, medications, food intake, exercise, weight, and medical history. It also will remind you to drink water or take medications, if you need this.",Health Tracker/Monitoring Tool,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/9.png,Jenny,3.5,Source is easy to use and personalized.,John Shepherd,3,"May be useful to track results of bowel program, but not tailored to SCI",,,
GI Buddy,https://gibuddy.ibdetermined.org/,Lifestyle Management: Diet,Persons with Chronic Conditions other than SCI,"GI Buddy tracks Crohn's disease and ulcerative colitis symptoms (which include incontinence and constipitation).  It may be of use to people who experience similar symptoms although recommendations will likely be geared to people with inflammatory issues.   The tools, which are for mobile phones and desktops, record the foods you eat and medications so that you can explore the relationship between diet/medication and bowel function. The tools will create reports that contain all the information provided. You must register in order to use the desktop application. ",Health Tracker/Monitoring Tool,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/11.png,Jenny,4.5,Contains a lot of information and customized.,John Shepherd, n/a,,,,
GI Monitor,http://www.wellapps.com/products/gimonitor,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with Chronic Conditions other than SCI,"GI Monitor is a symptom logging application for mobile phones and for patients with IBD (Inflammatory Bowel Disease), Crohn’s or Ulcerative Colitis. The app allows patients to log symptoms (e.g. incontinence) and to provide this data to their doctors for optimal treatment. In addition, the app tries to allow patients to see correlations between symptoms, meals and medications.",Health Tracker/Monitoring Tool,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/GIMonitor.png,Jenny,4,Source can be used for a variety of purposes and it is very helpful.,John Shepherd,3,Designed for Crohn's & Colitis,,,
Go! Mobility Solutions,http://goesanywhere.com,Positioning and Assistive Devices,Persons in Wheelchairs,Go! Is a US based company that provides of a line of portable commode /shower chairs designed for use at home and for travel.,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/54.png,Jenny,2, Not very useful because only focuses on bathroom chairs but if looking for this item a lot of options available. ,John Shepherd,4,Good selection of portable shower chairs. But what are the issues we need to consider re: implicit product endorsements?,,,
Guide to Digital Stimulation,http://www.myshepherdconnection.org/sci/bowel-care/digital-stimulation,Positioning and Assistive Devices,Persons with SCI,This website provides tips to care for bowels along with instructions for digital stimulation and other positioning strategies.  The site also provides worksheet to let individuals evaluate the effect of their program.,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/digstim.png,Jenny,5, Very useful website for Digital Stimulation contains useful advice and suggestions.  ,John Shepherd,5,"Excellent advice on digital stimulation, part of a site with lots of great information on bowel care after SCI. Why are we only highlighting the section on digital stim?",,,
Guidelines for Management of Nuerogenic Bowel Dysfunction after Spinal Cord Injury (2009),https://www.rcn.org.uk/__data/assets/pdf_file/0019/253036/CV453N_full_doc.pdf,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,"Endorsed by many institutions, this is the 2009 version of the management guidelines for Neurogenic Bowel from the Multidisciplinary Association of Spinal Cord Injury Professionals.  Note that there is now a 2012 version.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/GuidelinesforMan.png,Jenny,,*Website is not available at this time*,John Shepherd, Same as 59,,,,
Hamilton Health Sciences: Guide to Understanding and Managing your Bowel Program,http://www.hamiltonhealthsciences.ca/documents/Patient%20Education/SCI-BowelProgram.pdf,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,Guide for SCI individuals focused on understanding and managing a bowel program.,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/Hamilton2.png,Jenny,3,General overview of the topic but very comprehensive. ,John Shepherd,5,"Excellent, detailed information; designed for patients",,,
Healing Well Ostomy Forum,http://www.healingwell.com/community/default.aspx?f=33,Medical Interventions,General Audiences,"This is a forum dedicated to the discussion of a wide variety of ostomies (ileostomy, colostomy, etc).  You can find people discussion issues like skin preparation or recovery after an ostomy, ","Tool for Peer or HCP Interaction: Chat Room, Forum or Social Network",,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/28%20%281%29.png,Virgil,5,"• Real issues addressed in very practical ways
• I couldn’t find useless comments or divagations 
",John Shepherd,3,Only relevant to those with ostomies,Jenny,5,Very useful website for sharing and networking with people. 
Health Boards/Health Message Boards- Bowels and Digestive Disorders Message Boards,http://www.healthboards.com/boards/bowel-disorders/,"General Bowel Health Management (Defining a Routine, Defining Success)",General Audiences,"This is a link to a forum where people can discuss a wide variety of bowel and digestive disorders and management issues. The site is intended for everyone, not just people with SCI, and much of the conversation seems geared to topics that may not be directly relevant to persons with SCI.","Tool for Peer or HCP Interaction: Chat Room, Forum or Social Network",,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/35.png,Jenny,4.25,Covers a variety of topics and is user friendly. ,John Shepherd,2,Not specific to SCI,,,
HealthLink BC on Living With a Spinal Cord Injury: Bowel Care,http://www.healthlinkbc.ca/healthtopics/content.asp?hwid=ug2580#ug2968,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,A basic overview of bowel care after SCI with management tips. Website also provides information on bladder care and other self-management issues after SCI.,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/50.png,Jenny,4.25,Covers a wide variety of topics and can gain feedback. ,John Shepherd,3,Brief overview of bowel care after SCI,,,
HealthPromise,http://team4cure.weebly.com/,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with Chronic Conditions other than SCI,Health Promise is a mobile phone application for both Android and iOS devices that lets patient track their own outcomes.  It's currently being used to help patients with Chron's and IBD to track their symptoms (like incontinence or constipation) and to relate these symptoms to treatments and overall quality of life. Patients  can use it to track their quality of life as well as symptoms (bowel related and otherwise). Providers can use the visual data to understand the patterns of their symptoms and to communicate symptoms to doctors.  Information about the ongoing clinical trial for IBD and Chron's disease is at https://clinicaltrials.gov/ct2/show/NCT02322307,Health Tracker/Monitoring Tool,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/HealthPromise.png,Jenny,3.5,"User friendly, personalized and customized resource.  ",John Shepherd, n/a,This app is not publicly available…the site reports on a US-based research program ,,,
Infinitec's Bathroom Modification Suggestions,http://www.infinitec.org/live/homemodifications/bathrooms.htm,Positioning and Assistive Devices,Persons in Wheelchairs,"Infinitec, a joint project from the United Cerebral Palsy Association of Greater Chicago and the United Cerebral Palsy Inc. of Washington D.C., provides information on accessibility for people in wheelchairs. Includes a section on home and bathroom modifications, specifically.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/40.png,Jenny,4, Very helpful for standard bathroom accessibility. ,John Shepherd,4,Some useful suggestions for modifying a bathroom to make it accessible,,,
Introduction to Trans-Anal Irrigation,http://my-bowel.co.uk/for-healthcare-professionals/trans-anal-irrigation-tai-pai/,Medical Interventions,Persons with SCI,"Information from Coloplast, maker of products for Trans-anal irrigation, about trans-anal irrigation for patients where laxatives and stimulants have not been successful.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/transairri2.png,Virgil,5,• Usefull information.,John Shepherd,4,Designed for HCPs,Jenny,4.5,Very useful and information easy to comprehend  
Irritable Bowel Syndrome Self Help and Support Group,http://www.ibsgroup.org/,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with Chronic Conditions other than SCI,"This is the largest on-line community for sufferers of Irritable Bowel Syndrome. The site contains disucssion boards, information about diet and medications, an index of apps and media, etcetera. All is geared to sufferers of IBS specifically.","Tool for Peer or HCP Interaction: Chat Room, Forum or Social Network",,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/15.png,Jenny,4,Numerous topics with concise information.,John Shepherd,2,Not specific to SCI,,,
Isabel The Diagnosis Checklist,http://www.isabelhealthcare.com/home/,Recognizing/Coping with an Emergency,General Audiences,Desktop tool and mobile tool which provides a web-based Diagnosis Checklist System.  You can also pay to chat with a doctor in the U.S. about your symptoms if you are unusure how to proceed.,Tool for Peer or HCP Interaction: Messaging or Expert Advice,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/isabel2.png,Jenny,5,Easy to navigate and numerous tools to engage with. ,John Shepherd,2,Unclear how this tool has been validated,,,
iTriage,,"General Bowel Health Management (Defining a Routine, Defining Success)",General Audiences,"Desktop and mobile tool which provides a symptom checker, searching for doctors based on location, nearby facilities, medication management, guide to surgical procedures",Basic Information,,TRUE,,Jenny,,*Website is not available at this time* ,John Shepherd,3,"Well-designed and useful, but little bowel info",,,
Maintaining Continence at Camp ,http://spinabifidaassociation.org/wp-content/uploads/2015/07/MAINTAINING-CONTINENCE-AT-CAMP-AND-SLEEPOVERS-HEALTH-INFORMATION-SHEET2.pdf,Lifestyle Management: Travel,Persons with Chronic Conditions other than SCI,"This is a leaflet from the Spina Bifida association that prodives tips for vacationing with Neurogenic Bowel.  The advice, however, is very much targeted to young people, who may be travelling to camps or to overnight trips with friends.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/camp.png,Virgil,0,• MS Office warned about viruses - I didn't open the web site,John Shepherd,3,Not specific to SCI,Jenny,4.75,Very useful information and easy to understand with concrete examples. 
Management of the Nuerogenic Bowel for Adults with Spinal Cord Injuries,http://www.aci.health.nsw.gov.au/__data/assets/pdf_file/0019/155215/Management-Neurogenic-Bowel.pdf,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,Information resource with information on ways to treat bowel management for persons with spinal cord injury,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/ManagementOf.png,Jenny,3,"Very clear, concise and descriptive source.  ",John Shepherd,5,"Excellent information, well-presented",,,
Mayo Clinic,http://www.mayoclinic.org/symptoms,"General Bowel Health Management (Defining a Routine, Defining Success)",General Audiences,"Desktop accessible tool allows to check for symptoms, provides resources to products and services, allows you to request appointments depending on which state you live in.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/77.png,Jenny,3.5,An excellent source for searching different topics. ,John Shepherd,2,"Very general, limited usefulness for bowel issues",,,
Med-Health Net,http://www.med-health.net/Food-Nutrition.html,"General Bowel Health Management (Defining a Routine, Defining Success)",General Audiences,Features food and nutrition information that may promote digestion and is written by HCPs,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/44%281%29.png,Jenny,4.5,A variety of topics explored in one central location. ,John Shepherd,2,Information on a variety of topics; unclear how authoritative,,,
Medscape Overview: Neurogenic Bowel Dysfunction,http://emedicine.medscape.com/article/321172-overview,"General Bowel Health Management (Defining a Routine, Defining Success)",General Audiences,"Provides basic information about neurogenic bowel disorder. Website is intended for specialists, primary care physicians, and other health professionals and serves to help them locate integrated medical information and educational tools.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/46.png,Jenny,2.5,Source is easy to read due to use of appropriate headings. ,John Shepherd,4,Designed for HCPs,,,
myIBD,http://www.sickkids.ca/IBDacademy/IBD-Mobile-App/,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with Chronic Conditions other than SCI,myIBD is a mobile phone app for iOS (and soon for Android devices) that allows patients to regularly record symptoms related to inflammatory bowel syndrome (e.g. incontinence). The app also provides educational videos with information about topics like priobiotics and gut health.,Health Tracker/Monitoring Tool,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/5.png,Jenny,3.75,Easy to use tool with a wealth of information. ,John Shepherd,2,Not specific to SCI,,,
